831.087	853.103	868.696
833.692	866.896	867.025
829.554	852.625	865.998
827.158	850.425	862.64
821.424	842.628	864.36
826.604	863.547	863.745
828.362	852.703	847.532
840.344	841.959	841.15
829.59	852.785	881.24
767.656	852.325	765.097
814.849	835.044	862.081
819.791	871.343	860.118
823.415	847.14	871.01
831.148	865.57	865.668
825.015	849.792	864.914
828.752	851.203	874.226
820.256	851.461	865.015
826.624	849.197	872.139
828.805	852.444	876.129
820.016	851.632	670.222
827.271	849.387	871.666
829.786	853.435	869.569
823.924	846.852	863.478
829.846	852.917	858.871
828.8	850.893	864.033
828.402	853.121	864.71
822.041	845.926	869.896
828.818	852.648	867.219
824.219	848.895	859.896
820.33	850.041	873.673
830.507	849.02	865.885
822.094	845.817	870.097
823.535	843.485	863.581
825.771	847.693	870.195
818.512	851.381	838.945
822.804	843.897	857.864
832.359	853.38	872.771
826.519	847.842	873.076
829.162	850.986	882.201
820.991	842.729	870.382
826.994	848.591	855.947
829.342	852.535	853.169
823.914	847.541	856.822
820.553	842.466	864.462
819.261	842.66	866.02
822.913	846.643	870.919
827.397	850.951	875.341
827.745	858.489	865.195
823.389	15492	1079.58
822.889	844.028	864.913
819.985	842.165	864.64
821.952	845.043	868.275
823.692	847.085	870.715
826.372	849.146	859.626
823.975	846.221	868.312
818.051	849.987	847.011
824.827	847.551	869.967
822.955	846.303	869.573
827.992	850.948	866.88
817.818	841.167	863.5
824.4	845.613	867.038
821.687	845.185	868.988
820.909	850.984	867.679
814.707	851.873	859.511
